=========================================
🚀 OriStars Server is running!
📡 Local URL: http://localhost:3000
📱 Network URL: http://<your-computer-ip>:3000 (Use this on your phone)
💾 Data saved to: /Users/ame/Desktop/allworks/database.json
=========================================
[2026/5/18 23:18:34] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
[2026/5/18 23:18:44] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
[2026/5/18 23:21:22] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
[2026/5/18 23:21:59] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
[2026/5/18 23:23:13] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
[2026/5/18 23:27:57] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
[2026/5/18 23:28:39] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
[2026/5/18 23:50:44] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
[2026/5/18 23:51:22] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
[2026/5/18 23:52:09] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
[2026/5/18 23:52:32] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
[2026/5/18 23:53:30] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
[2026/5/18 23:54:43] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
[2026/5/18 23:55:15] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
[2026/5/18 23:56:03] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
[2026/5/18 23:56:52] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
[2026/5/18 23:57:17] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
[2026/5/18 23:57:52] Sending chat request to https://zz.zaizai.uno:8888/v1/chat/completions (Model: gemini-3.1-pro-preview-cli)
